study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJEB38199	SAMEA6853313	ERX4136695	ERR4173083	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/003/ERR4173083/ERR4173083_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173083/barcode31.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/003/ERR4173083
PRJEB38199	SAMEA6853314	ERX4136696	ERR4173084	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/004/ERR4173084/ERR4173084_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173084/barcode43.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/004/ERR4173084
PRJEB38199	SAMEA6853315	ERX4136697	ERR4173085	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/005/ERR4173085/ERR4173085_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173085/barcode55.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/005/ERR4173085
PRJEB38199	SAMEA6853316	ERX4136698	ERR4173086	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/006/ERR4173086/ERR4173086_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173086/barcode67.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/006/ERR4173086
PRJEB38199	SAMEA6853317	ERX4136699	ERR4173087	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/007/ERR4173087/ERR4173087_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173087/barcode79.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/007/ERR4173087
PRJEB38199	SAMEA6853319	ERX4136700	ERR4173088	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/008/ERR4173088/ERR4173088_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173088/barcode91.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/008/ERR4173088
PRJEB38199	SAMEA6853320	ERX4136701	ERR4173089	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/009/ERR4173089/ERR4173089_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173089/barcode08.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/009/ERR4173089
PRJEB38199	SAMEA6853321	ERX4136702	ERR4173090	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/000/ERR4173090/ERR4173090_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173090/barcode20.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/000/ERR4173090
PRJEB38199	SAMEA6853322	ERX4136703	ERR4173091	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/001/ERR4173091/ERR4173091_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173091/barcode32.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/001/ERR4173091
PRJEB38199	SAMEA6853323	ERX4136704	ERR4173092	449393	freshwater metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR417/002/ERR4173092/ERR4173092_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR417/ERR4173092/barcode44.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR417/002/ERR4173092
